,Perception,Headjack,Will,Movement,Name,Persuasion,Top,Awareness,Glasses,Footwear,Power,Charisma,Wisdom,Intelligence,Dexterity,Constitution,Strength,Votes,Generation,Right Hand Accessory,Left Hand Accessory,Front Neck Tattoo,Side Neck Tattoo,Forearm Tattoo,Bicep Tattoo,Piercings,Neckwear,Wristwear,Facial Expression,Facial Hair,Hair Dye,Hair Color,Hair Style,Background,Bottom
23067,Can see around corners,Yes,"You pull your friend forward and say ""hold me back""",Two left feet,None,Maintains status quo,Green Cotton Tunic with Buttons,Accepting the impermanence of things,,Black Leather Combat Cuff Boot,Can take a punch,5,11,11,3,4,3,1,1,Phone,Black Gun,,Circle,,,,,,Meditative,,Natural,Blonde,Short Messy,Heavy Rain,Red Leather Leggings
23068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23069,Can hear a bee's wings,Yes,Quiet confidence,You've got a rare and beautiful gift,None,Natural born leader,Black Leather Moto Jacket with Charcoal Cotton Crew,Stuck in your own head,Round Silver with Mirror Lens,Red Knee High Leather Boots,Scrappy,10,3,10,12,10,5,1,1,,Katana with Black Handle and Silver Blade,,Equality Sign,,,,,,,Mustache,Natural,Dark Brown,Short Messy,Heavy Rain,Black Cotton Leggings
23070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23071,You've got a bad feeling about this,Yes,True grit,Two left feet,None,Others are helpless to deny you,Green Cotton Mandarin Tunic,Appreciation for the complexity of human behavior,Black Wayfarer with Black Lens,Red Knee High Leather Boots,Can take a punch,13,12,9,3,9,3,1,1,,Silver Staff,,,,,,,,Scowl,Mustache,Natural,Blonde,,Light Rain,Black Leather Pants with Buckles
23072,"You see the past, present and future",Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Green Leather Trench Coat with Green Cotton Tank,Appreciation for the complexity of human behavior,,Black Leather Combat Cuff Boot,I wouldn't mess with you,7,12,19,4,12,6,1,1,,Dark Wood Staff,,,,,,,,Meditative,,Natural,Blonde,Short Updo,Light Rain,Green Cotton Leggings
23073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23078,Can smell fear,Yes,Incredible moral fiber,Running circles around enemies,None,Could probably convince a small child,White Cotton Tank,Appreciation for the complexity of human behavior,Round Silver with Mirror Lens,Black Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,3,12,14,7,11,2,1,1,Black Long Sai,Silver Submachine Gun,Valknut,,,Intersecting Squares,,,Studded Leather,,Stubble,Natural,Dark Brown,Short Messy,Light Rain,Black Cotton Leggings
23079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23080,Can smell fear,Yes,Quiet confidence,Abnormal flexibility,None,People smile back at you,Black Patent Leather Tank,Laughing at your mistakes,,Black Leather Neo Combat Boot,Can put up a fight,6,10,14,9,10,4,1,1,,,,Equality Sign,Circle,,Gold Erl,,Thick Leather,Meditative,,Yellow,Dark Brown,Messy Updo Bun,Light Rain,Black Cotton Wool Slacks with Buckles
23081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23082,Can hear a bee's wings,Yes,True grit,A gelatinous blob,None,Even you don't believe you,Black Snakeskin Tank,Appreciation for the complexity of human behavior,Round Black with Black Lens,Green Knee High Leather Boots,Can take a punch,1,12,10,1,9,3,1,1,Katana with Black Handle and Silver Blade,,,,,,Black Earrings,,Studded Leather,Scowl,Stubble,Natural,Black,Short Afro Fade,Light Rain,Green Cotton Leggings
23083,Can hear a bee's wings,Yes,"You pull your friend forward and say ""hold me back""",Abnormal flexibility,None,People smile back at you,Black Cotton Martial Arts Top,You have walked the manifold path,,Green Leather Neo Combat Boot,Can take a punch,6,14,10,9,4,3,1,1,Silver Gun,,,,,,Silver Eyebrow Ring,,,Scowl,Stubble,White,Dark Brown,Short Afro Fade,Heavy Rain,Black Leather Pants with Buckles
23084,Heightened senses,Yes,Quiet confidence,Getting the hang of it,None,Your significant other's mom loves you,Black Cotton Tank,Laughing at your mistakes,Black Morpheus with Dark Mirrored Lens,Black Leather Combat Cuff Boot,Can put up a fight,8,10,7,5,10,4,1,1,Phone,Dark Wood Staff,,Interlocking Circles,,,,,,,Thin,Natural,Dark Brown,Long Straight Bangs,Light Rain,Black Cotton Martial Arts Pants
23085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23098,Can see around corners,Yes,Quiet confidence,Two left feet,None,Glossophobia,Red Leather Trench Coat with White Cotton Oxford and Black Tie,Laughing at your mistakes,Black and Gold Wayfarer with Black Lens,Black Snakeskin Neo Combat Boot,Scrappy,4,10,11,3,10,5,1,1,Katana with Black Handle and Silver Blade,Black Shotgun,,,,,Gold Earrings,,,Smirk,,Natural,Black,,Light Rain,Black Leather Leggings
23099,You've got a bad feeling about this,Yes,Incredible moral fiber,Pretty light on your feet,None,Natural born leader,Green Leather Crewneck Tunic,Appreciation for the complexity of human behavior,Round Silver with Mirror Lens,Black Leather Neo Combat Boot,Can take on five enemies at once,10,12,9,6,11,9,1,1,,,,,,,,Leather Choker,,,Stubble,White,Light Brown,Short Updo,Light Rain,Black Cotton Wool Slacks with Buckles
23100,Can hear a bee's wings,Yes,Incredible moral fiber,Two left feet,None,Maintains status quo,Charcoal Cotton Longsleeve Crew,Deeper truths are apparent,Black Neo with Black Lens,White Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,5,16,10,3,11,2,1,1,Phone,Black Shotgun,,,,,Silver Earrings,Leather Choker,,Smirk,,Natural,Light Grey,Buzz Cut,Medium Rain,Black Cotton Leggings
23101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23106,Can see around corners,Yes,Unshakable resolve,Getting the hang of it,None,Glossophobia,Black Cotton Tank,Self-induced illusions fade,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Can put up a fight,4,8,11,5,12,4,1,1,Phone,,,,Interlocking Circles,Small Arrows,,,Thick Leather,,Stubble,Natural,Dark Brown,Long Straight Bangs,Light Rain,Black Cotton Martial Arts Pants
23107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23108,Can see over the horizon,Yes,Unshakable resolve,Sleep paralysis,None,People smile back at you,Black Cotton Martial Arts Top,You have walked the manifold path,,Red Leather Combat Cuff Boot,Can take on five enemies at once,6,14,13,2,12,9,1,1,Phone,Silver Arm Pole,,,,,Gold Earrings,,,,,Natural,Light Brown,Short Messy,Medium Rain,Black Cotton Wool Slacks with Buckles
23109,Can see around corners,Yes,Steps forward as others flee,Always picked first,None,Could probably convince a small child,Black Cotton Mandarin Tunic,Laughing at your mistakes,Black Wayfarer with Black Lens,Black Leather Combat Cuff Boot,Can take a punch,3,10,11,8,13,3,1,1,,,,,,,,,,,,White,Auburn,Faux Hawk,Medium Rain,Black Cotton Leggings
23110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23111,You see the world as code,Yes,Unshakable resolve,Sleep paralysis,None,History books will be written about you,Green Patent Leather Moto Jacket with Red Leather Crew,Learning to regulate emotions,,Black Leather Combat Cuff Boot,Can put up a fight,16,9,18,2,12,4,1,1,,,,,,,,,,Smirk,,Natural,Light Brown,Low Ponytail,Medium Rain,Black Cotton Wool Slacks with Buckles
23112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23113,Heightened senses,Yes,Quiet confidence,Getting the hang of it,None,Everything is always an option,Red Snakeskin Trench Coat with Black Cotton Oxford and White Tie,Self-induced illusions fade,Round Black with Black Lens,Green Leather Neo Combat Boot,Scrappy,12,8,7,5,10,5,1,1,,,,,,,"Black Nose, Lip, Forehead",,,,,Yellow,Dark Brown,Short Curly Fade,Heavy Rain,Red Cotton Wool Slacks with Buckles
23114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23115,Can hear a bee's wings,Yes,Incredible moral fiber,Running circles around enemies,None,You're a bit of a charmer,Charcoal Leather Longsleeve Crew,Reality is seen as it is,Translucent Hex with Red Polarized Lens,Black Knee High Leather Boots,Can take a punch,7,15,10,7,11,3,1,1,Katana with Black Handle and Silver Blade,Katana with White Handle and White Blade,,,,,Black Eyebrow Ring,,Thick Leather,Scowl,,Natural,Black,Long Afro,Heavy Rain,Red Cotton Wool Slacks with Buckles
23116,Can see around corners,Yes,Unshakable resolve,Two left feet,None,People smile back at you,Red Snakeskin Longsleeve Crew,Accepting the impermanence of things,,Patent Black Leather Combat Cuff Boot,Can put up a fight,6,11,11,3,12,4,1,1,,,,,,,,,,Meditative,,Natural,Dark Brown,Asymmetrical Bob,Light Rain,Black Cotton Martial Arts Pants
23117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23119,You've got a bad feeling about this,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Black Patent Leather Mandarin Trench Coat,Laughing at your mistakes,Black Wayfarer with Black Lens,Red Leather Combat Cuff Boot,Scrappy,5,10,9,4,12,5,1,1,Katana with Black Handle and Silver Blade,Black Arm Pole,,,,,,,,,,Natural,Light Grey,Buzz Cut,Heavy Rain,Green Cotton Wool Slacks with Buckles
23120,Can hear a bee's wings,Yes,Incredible moral fiber,A gelatinous blob,None,Maintains status quo,Black Leather Tank,Learning to regulate emotions,Round Silver with Mirror Lens,Green Black Patent Leather Neo Combat Boot,People get out of your way,5,9,10,1,11,7,1,1,,,,,Square,,Silver Earrings,,,Smirk,,Natural,Black,Short Afro Fade,Light Rain,Red Cotton Leggings
23121,Can see around corners,Yes,Quiet confidence,Sleep paralysis,None,Could probably convince a small child,Black Leather Tank,Accepting the impermanence of things,Translucent Hex with Red Polarized Lens,Black Leather Combat Cuff Boot,Can take a punch,3,11,11,2,10,3,1,1,Phone,Phone,,,,Stacking Triangles,Black Earrings,,,,,Natural,Light Brown,Buzz Cut,Light Rain,Black Cotton Wool Slacks with Buckles
23122,Can hear a bee's wings,Yes,Quiet confidence,Two left feet,None,Could sell ice to an eskimo,Charcoal Black Cotton Longsleeve with Zipper,You have a childlike sense of wonder,Black Hex with Purple Polarized Lens,Patent Black Leather Combat Cuff Boot,Can take a punch,9,7,10,3,10,3,1,1,Katana with Black Handle and Silver Blade,,,Intersecting Triangles,,,Black Eyebrow Ring,,Studded Leather,,,Natural,Black,,Medium Rain,Black Cotton Leggings
23123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23125,Can see around corners,Yes,Steps forward as others flee,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Green Cotton Longsleeve Crew,You know the sound of one hand clapping,Black and Gold Wayfarer with Black Lens,White Leather Combat Cuff Boot,The gym stops to watch you lift,5,13,11,4,13,8,1,1,Black Gun,Katana with Black Handle and White Blade,,,,,,,,Smirk,,Natural,Dark Brown,Long Straight Bangs,Medium Rain,Green Cotton Leggings
23126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23135,Can hear a bee's wings,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,You're a bit of a charmer,Black Patent Leather Longsleeve Crew,Accepting the impermanence of things,Round Black with Black Lens,Green Snakeskin Knee High Boots,Eighteen-wheelers swerve to avoid your punch,7,11,10,4,12,14,1,1,Katana with White Handle and Silver Blade,Black Submachine Gun,,Triforce,,,Gold Earrings,,Thick Leather,,Goatee,Natural,Black,Short Coil,Medium Rain,Black Cotton Leggings
23136,Can see around corners,Yes,Unshakable resolve,Getting the hang of it,None,Maintains status quo,Green Patent Leather Trench Coat with Black Leather Tank,Appreciation for the complexity of human behavior,Black Wayfarer with Black Lens,Black Patent Leather Knee High Boots,People get out of your way,5,12,11,5,12,7,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,Scowl,,White,Light Brown,Short Sideswept Fringe,Light Rain,Black Cotton Wool Slacks with Buckles
23137,Can see around corners,Yes,Incredible moral fiber,Getting the hang of it,None,People smile back at you,Black Cotton Tank,Laughing at your mistakes,Black Futurist with Black Lens,Black Snakeskin Neo Combat Boot,I wouldn't mess with you,6,10,11,5,11,6,1,1,Black Shotgun,,,Shaded Circle,Equality Sign,Small Arrows,"Gold Nose, Lip, Forehead",,Thick Leather,,,Natural,Black,Long Straight Bangs,Heavy Rain,Green Cotton Leggings
23138,Heightened senses,Yes,True grit,Can walk and chew gum AT THE SAME TIME (good job!),None,Maintains status quo,Black Leather Moto Jacket with Charcoal Leather Crew,You have a childlike sense of wonder,,Green Patent Leather Knee High Boots,Scrappy,5,7,7,4,9,5,1,1,,Black Submachine Gun,Shaded Triangle,,,,Black Earrings,,,,,Natural,Black,Short Afro Fade,Light Rain,Black Cotton Leggings
23139,Can hear a bee's wings,Yes,Incredible moral fiber,Can walk and chew gum AT THE SAME TIME (good job!),None,Natural born leader,Black Leather Trench Coat with Black Cotton Oxford and White Tie,Accepting the impermanence of things,Black Hex with Purple Polarized Lens,Green Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,10,11,10,4,11,2,1,1,,Black Gun,,,,,,,,Scowl,,Natural,Black,,Heavy Rain,Black Cotton Wool Slacks with Buckles
23140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23143,Your third eye is open,Yes,Incredible moral fiber,Two left feet,None,Nobody's buying it,Green Cotton Tank,Laughing at your mistakes,Round Black with Black Lens,Patent Green Leather Combat Cuff Boot,Can take a punch,2,10,15,3,11,3,1,1,,,,,Equality Sign,Sierpiński Triangle,,,Thick Leather,,,Natural,Black,Short Messy,Light Rain,Black Cotton Martial Arts Pants
23144,Can hear a bee's wings,Yes,True grit,Getting the hang of it,None,Glossophobia,Black Leather Moto Jacket with Red Cotton Crew,Laughing at your mistakes,,Black Leather Combat Cuff Boot,The gym stops to watch you lift,4,10,10,5,9,8,1,1,,,,,,,Black Earrings,,,Scowl,,Natural,Light Brown,Short Afro Fade,Light Rain,White Cotton Leggings
23145,Excellent at reading people,Yes,Incredible moral fiber,A gelatinous blob,None,Your significant other's mom loves you,Green Leather Trench Coat with Green Patent Leather Tank,Accepting the impermanence of things,,White Leather Combat Cuff Boot,Can take a punch,8,11,8,1,11,3,1,1,,Black Arm Pole,,,,,,Leather Choker,,,Beard,Neon Red,Auburn,Faux Hawk,Light Rain,Black Cotton Wool Slacks with Buckles
23146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23150,Can hear a bee's wings,Yes,Incredible moral fiber,Running circles around enemies,None,Could probably convince a small child,Black Patent Lather Trench Coat with Black Cotton Oxford and Red Tie,Laughing at your mistakes,White Futurist with Mirror Lens,White Leather Combat Cuff Boot,Can take on five enemies at once,3,10,10,7,11,9,1,1,Katana with Black Handle and Silver Blade,Gold Gun,,,,,,,,,,Natural,Light Brown,Long Straight Bangs,Light Rain,Black Cotton Wool Slacks with Buckles
23151,Can see around corners,Yes,Quiet confidence,Always picked first,None,People follow you blindly,Black Cotton Mandarin Tunic,Self-induced illusions fade,Black Wayfarer with Black Lens,Red Knee High Leather Boots,Can take a punch,11,8,11,8,10,3,1,1,Katana with White Handle and Silver Blade,Katana with White Handle and Gold Blade,,,,,,,,,,White,Dark Brown,Messy Updo Bun,Light Rain,Green Leather Pants with Buckles
23152,Can hear a heartbeat a mile away,Yes,Incredible moral fiber,Pretty light on your feet,None,Glossophobia,Black Patent Leather Mandarin Trench Coat,Accepting the impermanence of things,,Patent Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,4,11,12,6,11,2,1,1,,Katana with Black Handle and Silver Blade,,,,,,,,Scowl,,White,Light Grey,Short Curly Fade,Light Rain,Red Cotton Wool Slacks with Buckles
23153,Can hear a bee's wings,Yes,True grit,Getting the hang of it,None,Everything is always an option,Black Cotton Martial Arts Top,Laughing at your mistakes,,Black Leather Neo Combat Boot,Can put up a fight,12,10,10,5,9,4,1,1,Katana with Black Handle and Silver Blade,Black Gun,Circle,,,,,,,Meditative,,Natural,Light Grey,Short Updo,Heavy Rain,Black Leather Pants with Buckles
23154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23157,Can hear a bee's wings,Yes,Quiet confidence,Getting the hang of it,None,Natural born leader,Black Patent Leather Crewneck Tunic,Accepting the impermanence of things,Black and Gold Wayfarer with Black Lens,White Leather Combat Cuff Boot,The gym stops to watch you lift,10,11,10,5,10,8,1,1,,,,,,,,,,,,Natural,Black,Long Messy,Medium Rain,Black Cotton Wool Slacks with Buckles
23158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23160,Can hear a bee's wings,Yes,Surprising resilience,Sleep paralysis,None,Maintains status quo,White Cotton Longsleeve Crew,You know the sound of one hand clapping,,Black Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,5,13,10,2,8,2,1,1,,Dark Wood Staff,,,,,Silver Earrings,,,,,Natural,Dark Brown,Short Afro Fade,Medium Rain,White Cotton Martial Arts Pants
23161,You've got a bad feeling about this,Yes,Steps forward as others flee,Two left feet,None,Maintains status quo,Green Snakeskin Tunic with Buttons,You know the sound of one hand clapping,,White Leather Combat Cuff Boot,Can take a punch,5,13,9,3,13,3,1,1,,,,,,,,,,Meditative,,Natural,Blonde,Bob with Fringes,Light Rain,Green Cotton Wool Slacks with Buckles
23162,Can see over the horizon,Yes,Reluctant volunteer,Two left feet,None,You're a bit of a charmer,Green Cotton Longsleeve Crew,The veil begins to lift,,Green Patent Leather Knee High Boots,Can take a punch,7,6,13,3,5,3,1,1,,,Interlocking Circles,,,,,,,,,Pink,Light Brown,Long Straight Bangs,Light Rain,Green Snakeskin Pants with Buckles
23163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23167,Excellent at reading people,Yes,Incredible moral fiber,Getting the hang of it,None,You're a bit of a charmer,Black Cotton Tank,Appreciation for the complexity of human behavior,Round Silver with Mirror Lens,White Leather Neo Combat Boot,Your grandma beats you at arm-wrestling,7,12,8,5,11,2,1,1,,Phone,,Valknut,,Circle,Black Earrings,,Thick Leather,,,Green,Black,Pulled Back Short,Medium Rain,Green Cotton Wool Slacks with Buckles
23168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23172,Heightened senses,Yes,Surprising resilience,Pretty light on your feet,None,Maintains status quo,Black Leather Moto Jacket with Charcoal Cotton Crew,Learning to regulate emotions,Black and Gold Wayfarer with Black Lens,Black Snakeskin Knee High Boots,Paper hands,5,9,7,6,8,1,1,1,Black Submachine Gun,Silver Staff,,,,,"Black Nose, Lip",,,,,Natural,Auburn,Short Curly Fade,Light Rain,Green Leather Pants with Buckles
23173,Your third eye is open,Yes,Quiet confidence,A gelatinous blob,None,Glossophobia,Red Cotton Martial Arts Top,Laughing at your mistakes,Black Neo with Black Lens,,Can take a punch,4,10,15,1,10,3,1,1,,Dark Wood Staff,,,,,,,,Scowl,,Natural,Black,,Medium Rain,Black Cotton Martial Arts Pants
23174,You've got a bad feeling about this,Yes,Unshakable resolve,Can walk and chew gum AT THE SAME TIME (good job!),None,Glossophobia,Black Cotton Tunic with Buttons,Accepting the impermanence of things,White Futurist with Mirror Lens,Patent Green Leather Combat Cuff Boot,Can take a punch,4,11,9,4,12,3,1,1,,Dark Wood Staff,,,,,,,,,Thin,Green,Light Grey,Short Sideswept Fringe,Medium Rain,Black Cotton Leggings
23175,Can hear a bee's wings,Yes,True grit,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Red Leather Longsleeve Crew,Accepting the impermanence of things,White Futurist with Mirror Lens,Black Leather Neo Combat Boot,Scrappy,8,11,10,4,9,5,1,1,Dark Wood Staff,,,,,,,,Studded Leather,Scowl,Stubble,Pink,Black,Buzz Cut,Medium Rain,Black Cotton Leggings
23176,Can hear a bee's wings,Yes,True grit,Can walk and chew gum AT THE SAME TIME (good job!),None,Your significant other's mom loves you,Black Cotton Martial Arts Top,You have walked the manifold path,,,Your grandma beats you at arm-wrestling,8,14,10,4,9,2,1,1,Phone,Black Gun,,,,,,,,Smirk,,Natural,Light Grey,Short Afro Fade,Light Rain,Black Cotton Martial Arts Pants
23177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23181,Can see around corners,Yes,Incredible moral fiber,Running circles around enemies,None,Glossophobia,Red Leather Moto Jacket with Black Cotton Crew,Laughing at your mistakes,Black Wayfarer with Black Lens,Green Leather Combat Cuff Boot,Your grandma beats you at arm-wrestling,4,10,11,7,11,2,1,1,,Gold Staff,,,,,,,,,,Pink,Blonde,Short Coil,Light Rain,Black Leather Leggings
23182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23200,You've got a bad feeling about this,Yes,Incredible moral fiber,A gelatinous blob,None,Your significant other's mom loves you,Black Cotton Crewneck Tunic,Accepting the impermanence of things,,Patent Black Leather Combat Cuff Boot,Scrappy,8,11,9,1,11,5,1,1,,Silver Staff,,,,,,Leather Choker,,,,Natural,Light Grey,Short Afro Fade,Medium Rain,Green Cotton Wool Slacks with Buckles
23201,Can see around corners,Yes,Quiet confidence,Getting the hang of it,None,Nobody's buying it,Black Cotton Longsleeve with Zipper,You know the sound of one hand clapping,Black Hex with Purple Polarized Lens,Red Knee High Leather Boots,I wouldn't mess with you,2,13,11,5,10,6,1,1,,Phone,,Shaded Circle,,,,,,,,White,Black,Mohawk,Medium Rain,Red Leather Leggings
23202,Can hear a bee's wings,Yes,Begrudging participant,Pretty light on your feet,None,People smile back at you,Black Leather Moto Jacket with Black Cotton Crew,Self-induced illusions fade,,Black Leather Neo Combat Boot,The gym stops to watch you lift,6,8,10,6,6,8,1,1,,Black Shotgun,,,,,,,,Scowl,,Natural,Blonde,,Medium Rain,Black Cotton Wool Slacks with Buckles
23203,Can see around corners,Yes,Begrudging participant,Getting the hang of it,None,Your significant other's mom loves you,Black Leather Trench Coat with Black Cotton Oxford and Red Tie,Accepting the impermanence of things,Black Morpheus with Dark Mirrored Lens,Red Snakeskin Combat Cuff Boot,Paper hands,8,11,11,5,6,1,1,1,,,,,,,,,,Scowl,,Natural,Black,Short Coil,Light Rain,Red Cotton Wool Slacks with Buckles
23204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23207,Excellent at reading people,Yes,Unshakable resolve,Getting the hang of it,None,Could sell ice to an eskimo,Black Patent Leather Trench Coat with Green Cotton Tank,Accepting the impermanence of things,Translucent Hex with Red Polarized Lens,Black Snakeskin Combat Cuff Boot,Can take a punch,9,11,8,5,12,3,1,1,,,,,,,Black Earrings,,,Smirk,Mustache,Natural,Light Brown,Short Updo,Medium Rain,Black Patent Leather Leggins
23208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
